332	2126
2	1	436
4	1	767
8	1	1026
4	2	515
8	2	866
5	3	269
8	3	843
8	4	365
26	4	915
47	4	2109
8	5	849
7	6	197
8	6	683
13	6	143
8	7	488
13	7	140
13	8	604
16	8	239
23	8	478
24	8	414
26	8	830
27	8	351
28	8	1099
30	8	596
34	8	774
35	8	863
36	8	1093
37	8	1999
38	8	1622
47	8	1926
65	8	2040
67	8	3284
112	8	3847
118	8	3655
144	8	2746
201	8	2654
248	8	3059
313	8	3829
10	9	30
11	9	22
12	9	37
13	9	53
11	10	11
12	10	10
13	10	23
13	11	33
13	12	20
14	13	9
15	13	11
17	13	60
18	13	55
19	13	95
20	13	112
21	13	98
22	16	311
19	17	38
20	17	53
20	19	18
26	22	281
24	23	100
26	25	57
29	26	131
31	26	170
33	26	322
47	26	1216
35	28	425
31	29	125
33	29	247
47	29	1134
34	30	184
32	31	43
33	32	113
47	33	895
36	35	232
38	36	549
38	37	478
47	39	130
65	39	306
142	39	835
45	40	180
46	40	167
50	40	133
55	40	200
61	40	242
62	40	377
144	40	728
53	41	145
67	41	522
166	41	831
47	42	89
67	43	364
67	44	356
46	45	314
47	45	244
50	45	187
54	45	86
55	45	299
58	45	122
59	45	152
61	45	302
62	45	490
63	45	370
65	45	323
67	45	1266
83	45	393
118	45	1602
142	45	655
144	45	712
166	45	988
201	45	986
50	46	149
55	46	90
62	46	215
63	46	163
67	46	958
144	46	641
48	47	107
49	47	154
54	47	273
56	47	122
58	47	288
59	47	197
60	47	242
65	47	178
67	47	1502
74	47	310
75	47	320
83	47	483
86	47	555
94	47	1804
109	47	2658
112	47	2046
118	47	1828
123	47	1841
131	47	2139
142	47	714
144	47	825
147	47	2535
150	47	2555
152	47	2244
166	47	1150
169	47	770
172	47	1606
176	47	2078
177	47	2424
182	47	1826
183	47	836
197	47	929
201	47	938
203	47	963
219	47	1144
230	47	2408
232	47	2028
245	47	1281
246	47	1301
248	47	1305
253	47	1334
255	47	2336
258	47	1437
261	47	1894
263	47	1429
293	47	2160
311	47	2976
313	47	3086
316	47	3074
49	48	48
65	48	212
56	49	87
60	49	119
55	50	112
61	50	123
62	50	302
63	50	185
67	50	1082
144	50	596
166	50	828
67	51	267
82	51	319
118	51	655
166	51	796
67	52	194
67	53	424
82	53	367
144	53	809
166	53	701
58	54	36
59	54	113
60	54	87
65	54	301
83	54	307
61	55	67
62	55	191
63	55	89
144	55	556
58	56	180
59	56	78
60	56	124
65	56	141
69	57	198
70	57	199
71	57	197
118	57	435
59	58	107
60	58	69
65	58	294
83	58	271
60	59	46
64	59	57
65	59	189
83	59	297
144	59	638
64	60	48
65	60	225
62	61	201
63	61	70
63	62	133
67	62	786
144	62	511
166	62	605
67	63	918
144	63	479
166	63	656
65	64	191
66	65	68
67	65	1498
74	65	147
75	65	143
83	65	378
87	65	223
108	65	307
112	65	2025
116	65	331
118	65	1800
142	65	572
144	65	709
151	65	485
166	65	1059
169	65	600
176	65	2031
183	65	660
197	65	752
201	65	761
203	65	787
219	65	984
245	65	1109
246	65	1131
248	65	1133
253	65	1163
255	65	2254
258	65	1280
261	65	1779
263	65	1259
293	65	2037
87	66	156
116	66	271
151	66	422
71	67	262
76	67	508
78	67	100
79	67	138
82	67	219
90	67	258
94	67	327
95	67	760
99	67	435
109	67	1156
111	67	465
112	67	563
118	67	388
119	67	1082
120	67	297
123	67	406
128	67	321
131	67	667
133	67	368
136	67	1058
144	67	1033
146	67	1061
147	67	1050
150	67	1069
152	67	783
153	67	829
159	67	703
161	67	661
162	67	1033
166	67	770
167	67	607
172	67	540
174	67	1004
176	67	708
177	67	983
179	67	1005
182	67	604
183	67	1562
189	67	745
197	67	1629
201	67	1639
203	67	1630
217	67	900
219	67	1399
230	67	1115
232	67	954
233	67	1163
246	67	1617
248	67	1655
253	67	1651
255	67	1163
258	67	1454
261	67	1162
263	67	1685
274	67	1518
292	67	1431
293	67	1428
296	67	1460
299	67	1685
301	67	1705
307	67	1847
310	67	1917
311	67	1939
313	67	3992
80	68	134
96	68	223
109	68	259
118	68	1008
125	68	323
147	68	478
71	69	84
73	69	77
118	69	283
112	70	267
118	70	289
73	71	30
77	71	53
90	71	143
111	71	252
112	71	326
118	71	240
96	72	171
118	72	788
146	72	355
147	72	365
152	72	523
162	72	452
177	72	572
77	73	26
90	73	115
94	73	129
118	73	220
75	74	106
116	74	203
201	74	637
87	75	85
108	75	168
116	75	202
151	75	348
166	75	1021
201	75	622
82	76	325
98	76	204
118	76	797
142	76	717
144	76	551
94	77	104
118	77	195
79	78	63
118	78	298
118	79	250
101	80	198
109	80	128
118	80	910
146	80	329
147	80	344
152	80	588
162	80	440
176	80	853
177	80	579
85	81	69
118	81	1173
144	81	277
166	81	472
261	81	1239
106	82	113
118	82	475
130	82	376
140	82	261
144	82	821
166	82	551
182	82	564
85	83	211
86	83	98
97	83	195
104	83	136
118	83	1450
144	83	343
166	83	681
201	83	649
248	83	927
112	84	131
118	84	245
97	85	64
144	85	261
261	85	1272
144	86	286
118	88	142
174	89	386
94	90	75
112	90	317
118	90	133
152	90	528
166	90	855
182	90	422
92	91	80
95	91	57
109	91	348
112	91	302
118	91	532
119	91	278
146	91	296
147	91	293
150	91	309
152	91	283
162	91	334
174	91	380
176	91	527
177	91	399
179	91	408
221	91	694
230	91	773
255	91	968
95	92	135
109	92	270
112	92	379
118	92	611
119	92	207
143	92	269
146	92	250
147	92	251
150	92	264
152	92	326
162	92	312
174	92	377
176	92	584
179	92	409
182	92	837
221	92	704
230	92	793
255	92	998
299	92	1427
100	93	47
118	93	232
152	93	297
161	93	294
99	94	121
109	94	863
112	94	242
118	94	93
131	94	341
146	94	745
147	94	733
152	94	456
159	94	380
162	94	709
166	94	917
172	94	492
176	94	408
179	94	677
182	94	420
201	94	1827
217	94	655
219	94	1535
230	94	819
232	94	762
248	94	1776
255	94	906
258	94	1528
261	94	1068
263	94	1782
299	94	1427
301	94	1457
310	94	1661
311	94	1684
101	95	252
109	95	398
112	95	245
118	95	476
119	95	323
131	95	216
146	95	323
147	95	317
150	95	335
152	95	246
162	95	343
174	95	375
176	95	479
177	95	387
179	95	399
221	95	675
230	95	747
255	95	934
299	95	1392
118	96	844
147	96	255
152	96	505
162	96	351
177	96	489
104	97	105
144	98	347
112	99	128
118	99	149
147	99	616
152	99	354
161	99	293
167	99	305
176	99	370
111	100	71
112	100	83
118	100	186
137	100	175
152	100	312
161	100	276
112	101	489
118	101	722
129	101	120
146	101	189
152	101	392
162	101	285
174	101	372
176	101	657
179	101	407
221	101	704
230	101	807
255	101	1024
107	102	87
118	102	236
120	102	73
182	102	378
115	103	38
152	103	271
144	104	206
123	105	248
167	105	306
182	105	512
118	106	434
120	106	243
140	106	150
166	106	500
182	106	465
118	107	149
116	108	62
201	108	455
112	109	629
118	109	862
119	109	95
131	109	560
144	109	2092
146	109	211
147	109	227
150	109	218
152	109	503
159	109	647
161	109	713
162	109	321
166	109	1744
167	109	819
170	109	332
174	109	420
176	109	765
177	109	464
179	109	455
182	109	1045
201	109	2655
202	109	565
203	109	2638
212	109	586
217	109	997
219	109	2328
221	109	736
230	109	851
232	109	1193
248	109	2545
255	109	1078
258	109	2256
261	109	1605
273	109	1108
293	109	1714
299	109	1431
301	109	1495
306	109	1568
307	109	1608
310	109	1625
311	109	1652
321	109	2300
152	110	458
162	110	286
112	111	112
118	111	123
152	111	318
161	111	233
118	112	233
119	112	544
123	112	228
125	112	609
126	112	159
131	112	108
136	112	503
137	112	151
144	112	1464
146	112	502
147	112	490
149	112	430
150	112	510
152	112	229
157	112	387
159	112	213
161	112	225
162	112	470
166	112	1121
167	112	282
170	112	519
172	112	643
174	112	448
176	112	310
177	112	434
179	112	454
182	112	487
189	112	405
201	112	2035
202	112	545
203	112	2019
212	112	626
217	112	606
219	112	1723
221	112	649
230	112	680
232	112	764
248	112	1952
253	112	1938
255	112	821
258	112	1684
261	112	1131
263	112	1947
292	112	1220
293	112	1319
296	112	1346
299	112	1321
301	112	1362
305	112	1417
306	112	1493
307	112	1500
310	112	1552
311	112	1577
152	113	271
174	113	292
118	114	65
152	115	233
151	116	159
152	117	152
119	118	775
120	118	194
125	118	839
126	118	85
127	118	212
128	118	296
129	118	704
130	118	142
131	118	313
133	118	412
134	118	768
136	118	728
137	118	168
139	118	344
140	118	464
143	118	762
144	118	1231
145	118	200
146	118	724
147	118	711
148	118	155
149	118	648
150	118	730
152	118	416
153	118	994
154	118	152
155	118	157
157	118	592
158	118	186
159	118	317
161	118	273
162	118	676
163	118	223
164	118	211
166	118	890
167	118	231
168	118	993
169	118	1640
172	118	431
173	118	1001
174	118	632
176	118	325
177	118	606
179	118	628
181	118	907
182	118	332
183	118	1744
186	118	471
189	118	379
191	118	376
192	118	412
197	118	1795
198	118	637
201	118	1804
202	118	688
203	118	1788
204	118	600
212	118	769
216	118	686
217	118	562
218	118	693
219	118	1498
221	118	745
222	118	622
225	118	800
229	118	955
230	118	737
232	118	670
233	118	1161
240	118	703
246	118	1691
248	118	1733
249	118	842
250	118	1652
253	118	1720
255	118	815
256	118	806
258	118	1474
260	118	955
261	118	985
263	118	1733
273	118	1001
274	118	1504
276	118	1353
284	118	1142
288	118	1222
292	118	1151
293	118	1207
296	118	1237
297	118	1305
299	118	1337
301	118	1366
305	118	1419
306	118	1514
307	118	1508
310	118	1570
311	118	1594
313	118	4076
321	118	2510
131	119	470
146	119	126
147	119	141
150	119	136
152	119	408
162	119	236
174	119	333
176	119	670
177	119	375
179	119	368
182	119	950
217	119	904
221	119	657
230	119	768
255	119	992
261	119	1511
299	119	1363
301	119	1425
306	119	1505
310	119	1563
311	119	1590
321	119	2271
130	120	73
166	120	700
182	120	307
258	120	1312
142	121	629
163	122	220
131	123	302
146	123	714
147	123	700
152	123	403
159	123	300
163	123	210
166	123	894
167	123	211
172	123	427
179	123	613
182	123	319
217	123	544
219	123	1499
255	123	796
261	123	973
273	123	981
296	123	1222
299	123	1317
301	123	1347
302	123	1351
307	123	1489
310	123	1551
138	124	76
201	124	408
131	125	532
147	125	171
152	125	463
162	125	263
170	125	270
174	125	362
177	125	406
179	125	396
221	125	673
230	125	789
255	125	1017
299	125	1366
137	126	89
152	126	331
161	126	203
176	126	268
182	126	349
217	126	533
137	127	92
152	127	210
255	127	760
133	128	116
142	128	1129
152	128	691
166	128	596
182	128	315
258	128	1214
261	128	844
152	129	327
221	129	589
255	129	917
145	130	71
148	130	86
160	130	148
166	130	749
182	130	258
258	130	1336
146	131	412
147	131	398
150	131	418
152	131	121
153	131	1295
162	131	368
166	131	1183
167	131	278
170	131	415
172	131	685
174	131	340
176	131	267
177	131	325
179	131	346
182	131	502
189	131	367
201	131	2095
212	131	519
217	131	562
219	131	1771
221	131	552
230	131	594
248	131	1993
255	131	753
258	131	1715
261	131	1123
292	131	1172
293	131	1290
299	131	1240
